id,mean_Z,del_Z,mode_Z,L2_norm,L3_norm,mean_grp,del_grp,mode_grp,mean_period,del_period,mode_period,mean_valelec,del_valelec,mode_valelec,mean_electroneg,del_electroneg,mode_electroneg,stoichio_entropy,cell_area,hform,label
W2I6-ce05af193c98,58.25,7.875,53,0.791,0.759,14.25,8.25,17,5.25,0.375,5,6.75,0.375,7,2.585,0.113,2.66,0.562,37.43955,0.21877,-1
Ta2Te2-c357f12377ad,62.5,10.5,62.5,0.707,0.63,10.5,11,10.5,5.5,0.5,5.5,5.5,0.5,5.5,1.8,0.3,1.8,0.693,15.24473,0.02025,-1
Br2N2W2-6d1fd88e92fb,38.667,23.556,38.667,0.577,0.481,12.667,8.889,12.667,4,1.333,4,6,0.667,6,2.787,0.284,2.787,1.099,13.019,-0.40537,1
PbSe2-45aa9714a72b,50,21.333,34,0.745,0.693,15.333,1.778,16,4.667,0.889,4,5.333,0.889,6,2.323,0.302,2.55,0.637,16.78644,-0.01676,1
Cl2Pt2-93dfef2d1004,47.5,30.5,47.5,0.707,0.63,13.5,7,13.5,4.5,1.5,4.5,8.5,1.5,8.5,2.72,0.44,2.72,0.693,11.42413,-0.33823,1
IrH2-08bd4a749d3c,26.333,33.778,1,0.745,0.693,3.667,7.111,1,2.667,2.222,1,3.667,3.556,1,2.2,0,2.2,0.637,6.48811,0.18676,-1
I2In2-3e7cf76994f4,51,2,51,0.707,0.63,15,4,15,5,0,5,5,2,5,2.22,0.44,2.22,0.693,41.40375,-0.36286,1
Co2Te2-d37f747fe97e,39.5,12.5,39.5,0.707,0.63,12.5,7,12.5,4.5,0.5,4.5,7.5,1.5,7.5,1.99,0.11,1.99,0.693,13.49081,0.27997,-1
Au2Br2S2-8fc4316f1f78,43.333,23.778,43.333,0.577,0.481,14.667,4.889,14.667,4.333,1.111,4.333,8,2,8,2.693,0.178,2.693,1.099,19.76403,0.09408,-1
HgBr2-978e95bef964,50,20,35,0.745,0.693,15.333,4.444,17,4.667,0.889,4,5.333,2.222,7,2.64,0.427,2.96,0.637,18.1067,-0.51187,1
Re4Se8-c3bc24117d8e,47.667,18.222,34,0.745,0.693,13,8,16,4.667,0.889,4,6.333,0.444,6,2.333,0.289,2.55,0.637,39.49808,-0.40263,1
SrBr2-a17f01139eff,36,1.333,35,0.745,0.693,12,13.333,17,4.333,0.444,4,5.333,2.222,7,2.29,0.893,2.96,0.637,18.42066,-2.15539,1
S2Ta2-10321bd326e0,44.5,28.5,44.5,0.707,0.63,10.5,11,10.5,4.5,1.5,4.5,5.5,0.5,5.5,2.04,0.54,2.04,0.693,8.95436,-0.39793,1
ZnBr2-88424f85cf2b,33.333,2.222,35,0.745,0.693,15.333,4.444,17,4,0,4,5.333,2.222,7,2.523,0.582,2.96,0.637,12.49295,-0.84341,1
P2Ti2S6-747238d5660d,17,2,16,0.663,0.614,13.4,7.52,16,3.2,0.32,3,5.4,0.72,6,2.294,0.343,2.58,0.95,30.68999,-0.70159,1
Fe2O2-0dfcae2145e2,17,9,17,0.707,0.63,12,8,12,3,1,3,7,1,7,2.635,0.805,2.635,0.693,15.87647,-0.61578,1
ScSe2-b94c70080d61,29.667,5.778,34,0.745,0.693,11.667,11.556,16,4,0,4,5,1.333,6,2.153,0.529,2.55,0.637,13.48056,-1.12638,1
P2Pd2Se6-7c1844ff89ef,32.6,7.04,34,0.663,0.614,14.6,3.68,16,4,0.4,4,6.6,1.36,6,2.408,0.17,2.55,0.95,34.98863,-0.15417,1
Re2I4-4c3e36d33545,60.333,9.778,53,0.745,0.693,13.667,8.889,17,5.333,0.444,5,7,0,7,2.407,0.338,2.66,0.637,27.79014,0.6597,-1
CH2O2W2-3ee363d705ab,24.571,28.245,74,0.515,0.418,8.571,11.592,6,2.857,1.796,6,4.286,1.959,6,2.65,0.451,2.36,1.352,7.3587,-0.42923,1
Sb2Br6-bff1b11512f3,39,6,35,0.791,0.759,16.5,1.5,17,4.25,0.375,4,6.5,0.75,7,2.732,0.341,2.96,0.562,55.01351,-0.62931,1
CrSeTe-5d9d3ded04de,36.667,10.222,36.667,0.577,0.481,12.667,8.889,12.667,4.333,0.444,4.333,6,0,6,2.103,0.298,2.103,1.099,9.69922,-0.26975,1
NH2O2V2-d010546ce59f,10.143,7.347,23,0.515,0.418,8.429,12.408,5,2.286,0.98,4,4.143,1.796,5,2.511,0.682,1.63,1.352,8.09214,-1.19895,1
Nb2Br6-20b6c0ca2670,36.5,2.25,35,0.791,0.759,14,9,17,4.25,0.375,4,6.5,0.75,7,2.62,0.51,2.96,0.562,33.35321,-0.80499,1
Hg2Se2-0e6c672edc8d,57,23,57,0.707,0.63,14,4,14,5,1,5,4,2,4,2.275,0.275,2.275,0.693,17.196,-0.09366,1
BiCl2-cbc01ce01308,39,29.333,17,0.745,0.693,16.333,1.778,17,4,1.333,3,6.333,0.889,7,2.78,0.507,3.16,0.637,11.72996,-0.50751,1
Pd2S2-af4b2b00cb2c,31,15,31,0.707,0.63,13,6,13,4,1,4,8,2,8,2.39,0.19,2.39,0.693,12.11937,0.0519,-1
AsISe-5d829e480507,40,8.667,40,0.577,0.481,16,1.333,16,4.333,0.444,4.333,6,0.667,6,2.463,0.189,2.463,1.099,13.40453,-0.15982,1
Ir2I6-6dbe90bb6b5d,59,9,53,0.791,0.759,15,6,17,5.25,0.375,5,7.5,0.75,7,2.545,0.173,2.66,0.562,42.93066,0.26373,-1
Se2Ti2-f346fce11db3,28,6,28,0.707,0.63,10,12,10,4,0,4,5,1,5,2.045,0.505,2.045,0.693,14.15432,-0.87237,1
Pb2Te2-ab2cf4e20fec,67,15,67,0.707,0.63,15,2,15,5.5,0.5,5.5,5,1,5,1.985,0.115,1.985,0.693,19.95222,0.06022,-1
Hf2P2S6-d44b5a63c91e,27,18,16,0.663,0.614,13.4,7.52,16,3.6,0.96,3,5.4,0.72,6,2.246,0.401,2.58,0.95,38.1701,-0.80561,1
Hf2P2Se6-6a2980949468,37.8,13.68,34,0.663,0.614,13.4,7.52,16,4.2,0.72,4,5.4,0.72,6,2.228,0.386,2.55,0.95,40.66257,-0.64625,1
Cr2I2N2-c85604a5cfe5,28,16.667,28,0.577,0.481,12.667,8.889,12.667,3.667,1.111,3.667,6,0.667,6,2.453,0.529,2.453,1.099,12.2781,-0.20894,1
ISbTe-0f02957b17cf,52,0.667,52,0.577,0.481,16,1.333,16,5,0,5,6,0.667,6,2.27,0.26,2.27,1.099,16.1485,-0.25022,1
Fe2Se2-0f8e8a87c72c,30,4,30,0.707,0.63,12,8,12,4,0,4,7,1,7,2.19,0.36,2.19,0.693,11.53255,0.12276,-1
AlI2-ed00aecbc014,39.667,17.778,53,0.745,0.693,15.667,3.556,17,4.333,0.889,5,5.667,1.778,7,2.31,0.467,2.66,0.637,13.74051,-0.20731,1
CH2O2Zr2-a7cf1daeaa38,14.857,14.367,40,0.515,0.418,8,12.571,4,2.571,1.388,5,3.714,1.551,4,2.356,0.675,1.33,1.352,9.49491,-1.48547,1
Au2Se4-184bf500e0c1,49,20,34,0.745,0.693,14.333,4.444,16,4.667,0.889,4,7.667,2.222,6,2.547,0.004,2.55,0.637,39.17715,0.02848,-1
BrClMo-bad3cbaba47b,31.333,9.556,31.333,0.577,0.481,13.333,9.778,13.333,4,0.667,4,6.667,0.444,6.667,2.76,0.4,2.76,1.099,9.28889,-0.3153,1
Ru2Se2-8115ea83a56a,39,5,39,0.707,0.63,12,8,12,4.5,0.5,4.5,7,1,7,2.375,0.175,2.375,0.693,13.60054,0.0269,-1
RhO2-107448dd8d6e,20.333,16.444,8,0.745,0.693,13.667,6.222,16,3,1.333,2,7,1.333,6,3.053,0.516,3.44,0.637,8.30247,-0.68033,1
Fe2Te2-9b6e3ab64225,39,13,39,0.707,0.63,12,8,12,4.5,0.5,4.5,7,1,7,1.965,0.135,1.965,0.693,14.18776,0.40224,-1
F2Rb2-b58f604cba62,23,14,23,0.707,0.63,9,16,9,3.5,1.5,3.5,4,3,4,2.4,1.58,2.4,0.693,29.44306,-2.59869,1
CdCl2-3861891e1b05,27.333,13.778,17,0.745,0.693,15.333,4.444,17,3.667,0.889,3,5.333,2.222,7,2.67,0.653,3.16,0.637,13.16954,-1.11731,1
VSe2-8535e643c6c5,30.333,4.889,34,0.745,0.693,12.333,9.778,16,4,0,4,5.667,0.444,6,2.243,0.409,2.55,0.637,9.68096,-0.70827,1
Br2V2-833099de2840,29,6,29,0.707,0.63,11,12,11,4,0,4,6,1,6,2.295,0.665,2.295,0.693,12.52767,-0.0708,1
AsBrSe-989f469f06bd,34,0.667,34,0.577,0.481,16,1.333,16,4,0,4,6,0.667,6,2.563,0.264,2.563,1.099,12.6113,-0.29448,1
TlTe2-b5f801d12b79,61.667,12.889,52,0.745,0.693,15,2.667,16,5.333,0.444,5,5,1.333,6,1.94,0.213,2.1,0.637,16.99217,0.16376,-1
F2N3Ti4-849d69dfb819,14.111,7.012,22,0.598,0.514,10.556,11.654,4,2.889,0.988,4,5,0.889,4,2.582,0.926,1.54,1.061,7.87557,-2.18033,1
CuO2-0919e97be371,15,9.333,8,0.745,0.693,14.333,4.444,16,2.667,0.889,2,7.667,2.222,6,2.927,0.684,3.44,0.637,11.87028,0.13991,-1
VI2-d480b343c982,43,13.333,53,0.745,0.693,13,10.667,17,4.667,0.444,5,6.333,0.889,7,2.317,0.458,2.66,0.637,14.74347,-0.49028,1
Co2Te6-46b77e94916c,45.75,9.375,52,0.791,0.759,14.25,5.25,16,4.75,0.375,5,6.75,1.125,6,2.045,0.083,2.1,0.562,21.97427,0.0261,-1
Hg2S2-e805fd2216c9,48,32,48,0.707,0.63,14,4,14,4.5,1.5,4.5,4,2,4,2.29,0.29,2.29,0.693,15.89858,-0.05302,1
NbI2-d52abef22fe0,49,5.333,53,0.745,0.693,13,10.667,17,5,0,5,6.333,0.889,7,2.307,0.471,2.66,0.637,13.3165,0.12973,-1
P2Sc2S6-bc8b8c21ad4f,16.8,1.68,16,0.663,0.614,13.2,8.16,16,3.2,0.32,3,5.2,0.96,6,2.258,0.386,2.58,0.95,35.42431,-0.97935,1
TaI2-df6a9bc93d24,59.667,8.889,53,0.745,0.693,13,10.667,17,5.333,0.444,5,6.333,0.889,7,2.273,0.516,2.66,0.637,11.10047,0.11045,-1
CCr2H2O2-a9639b4177bd,10.286,7.837,24,0.515,0.418,8.571,11.592,6,2.286,0.98,4,4.286,1.959,6,2.45,0.594,1.66,1.352,8.16531,-0.8023,1
Br2Tl2-495c0ec26ef4,58,23,58,0.707,0.63,15,4,15,5,1,5,5,2,5,2.29,0.67,2.29,0.693,38.07861,-0.76447,1
N3Nb4-a02ce41fc8d5,26.429,16.653,41,0.714,0.643,9.286,9.796,5,3.714,1.469,5,5,0,5,2.217,0.705,1.6,0.683,8.58669,-0.5696,1
Bi2Sn6-6bd3b76ad787,58.25,12.375,50,0.791,0.759,14.25,0.75,14,5.25,0.375,5,4.25,0.375,4,1.975,0.023,1.96,0.562,85.0599,0.64806,-1
Fe2I2-eca72cc398e5,39.5,13.5,39.5,0.707,0.63,12.5,9,12.5,4.5,0.5,4.5,7.5,0.5,7.5,2.245,0.415,2.245,0.693,12.72895,0.36801,-1
SnF2-d6c3ab6de6b8,22.667,18.222,9,0.745,0.693,16,2.667,17,3,1.333,2,6,1.333,7,3.307,0.898,3.98,0.637,16.95527,-2.15117,1
N2O2Ta3-ff56e11bff40,35.571,32.082,73,0.589,0.5,11,10.286,5,3.714,1.959,6,5.286,0.408,5,2.494,0.852,1.5,1.079,8.08759,-1.5409,1
PbS-5e4ff1f56b4a,49,33,49,0.707,0.63,15,2,15,4.5,1.5,4.5,5,1,5,2.225,0.355,2.225,0.693,13.5061,-0.3368,1
Ca2I2-946217a67549,36.5,16.5,36.5,0.707,0.63,9.5,15,9.5,4.5,0.5,4.5,4.5,2.5,4.5,1.83,0.83,1.83,0.693,24.25019,-0.76741,1
PtCl2-fa8d38b71cd1,37.333,27.111,17,0.745,0.693,14.667,6.222,17,4,1.333,3,8,1.333,7,2.867,0.391,3.16,0.637,12.43402,-0.06663,1
W2O4-46e178ee369d,30,29.333,8,0.745,0.693,12.667,8.889,16,3.333,1.778,2,6,0,6,3.08,0.48,3.44,0.637,14.87407,-1.81836,1
FeO2-6388ac7371b0,14,8,8,0.745,0.693,13.333,7.111,16,2.667,0.889,2,6.667,0.889,6,2.903,0.716,3.44,0.637,9.14766,-0.94016,1
TlI2-eab0c10fce19,62.333,12.444,53,0.745,0.693,15.667,3.556,17,5.333,0.444,5,5.667,1.778,7,2.313,0.462,2.66,0.637,16.52319,-0.27416,1
Pd2S4-b53de4491ef5,26,13.333,16,0.745,0.693,14,5.333,16,3.667,0.889,3,7.333,1.778,6,2.453,0.169,2.58,0.637,30.61161,-0.29408,1
BiClTe-badda86cab42,50.667,22.444,50.667,0.577,0.481,16,1.333,16,4.667,1.111,4.667,6,0.667,6,2.427,0.489,2.427,1.099,15.14053,-0.46839,1
Br2O2Os2-198ed60f3c02,39.667,24.222,39.667,0.577,0.481,13.667,7.556,13.667,4,1.333,4,7,0.667,7,2.867,0.444,2.867,1.099,14.31903,-0.06014,1
I2Mn2S2-d84ade5709de,31.333,14.444,31.333,0.577,0.481,13.333,8.444,13.333,4,0.667,4,6.667,0.444,6.667,2.263,0.476,2.263,1.099,17.77902,-0.45657,1
PtSe2-287a7f04fa04,48.667,19.556,34,0.745,0.693,14,5.333,16,4.667,0.889,4,7.333,1.778,6,2.46,0.12,2.55,0.637,11.39259,0.13238,-1
TaBr2-973170aaaf19,47.667,16.889,35,0.745,0.693,13,10.667,17,4.667,0.889,4,6.333,0.889,7,2.473,0.649,2.96,0.637,9.46176,-0.38457,1
Os2Se2-ed1b5172aeab,55,21,55,0.707,0.63,12,8,12,5,1,5,7,1,7,2.375,0.175,2.375,0.693,15.79703,0.25492,-1
Fe2I2-4e9104999ae6,39.5,13.5,39.5,0.707,0.63,12.5,9,12.5,4.5,0.5,4.5,7.5,0.5,7.5,2.245,0.415,2.245,0.693,14.83852,0.38547,-1
Br2Sn2-52665ce1b3ba,42.5,7.5,42.5,0.707,0.63,15.5,3,15.5,4.5,0.5,4.5,5.5,1.5,5.5,2.46,0.5,2.46,0.693,18.49615,-0.25103,1
Re2Cl6-21e7665ac8f4,31.5,21.75,17,0.791,0.759,14.5,7.5,17,3.75,1.125,3,7,0,7,2.845,0.473,3.16,0.562,28.38705,-0.18153,1
Cu2F2-c4860f83a9b8,19,10,19,0.707,0.63,14,6,14,3,1,3,9,2,9,2.94,1.04,2.94,0.693,7.39365,-0.98546,1
Fe2Se6-b1685324939d,32,3,34,0.791,0.759,14,6,16,4,0,4,6.5,0.75,6,2.37,0.27,2.55,0.562,23.9379,-0.08058,1
OsSe2-8123aa96ae79,48,18.667,34,0.745,0.693,13.333,7.111,16,4.667,0.889,4,6.667,0.889,6,2.433,0.156,2.55,0.637,11.60435,0.12057,-1
Cu2S2-ced93bae75e0,22.5,6.5,22.5,0.707,0.63,13.5,5,13.5,3.5,0.5,3.5,8.5,2.5,8.5,2.24,0.34,2.24,0.693,12.23896,0.04819,-1
I2S2Ta2-12fb3e13a1b6,47.333,20.889,47.333,0.577,0.481,12.667,10.222,12.667,4.667,1.111,4.667,6,0.667,6,2.247,0.498,2.247,1.099,17.17216,-0.72033,1
Tl2Cl6-428082203077,33,24,17,0.791,0.759,16,3,17,3.75,1.125,3,6,1.5,7,2.775,0.577,3.16,0.562,39.78301,-0.70292,1
Ru2Se4-ab2245bf1ecd,37.333,4.444,34,0.745,0.693,13.333,7.111,16,4.333,0.444,4,6.667,0.889,6,2.433,0.156,2.55,0.637,37.62128,0.19183,-1
C2H2-1b265530a869,3.5,2.5,3.5,0.707,0.63,7.5,13,7.5,1.5,0.5,1.5,2.5,1.5,2.5,2.375,0.175,2.375,0.693,5.58256,-0.13367,1
Bi2Cl2N2-3e85ab72b97d,35.667,31.556,35.667,0.577,0.481,15.667,1.778,15.667,3.667,1.556,3.667,5.667,0.889,5.667,2.74,0.48,2.74,1.099,16.50338,0.23077,-1
TiSe2-320be81440f3,30,5.333,34,0.745,0.693,12,10.667,16,4,0,4,5.333,0.889,6,2.213,0.449,2.55,0.637,10.82942,-1.12212,1
AsBiHf-75b5b404cc95,62.667,19.778,62.667,0.577,0.481,11.333,9.778,11.333,5.333,0.889,5.333,4.667,0.444,4.667,1.833,0.356,1.833,1.099,11.43023,-0.16314,1
Fe2I6-8736409b93c4,46.25,10.125,53,0.791,0.759,14.75,6.75,17,4.75,0.375,5,7.25,0.375,7,2.453,0.311,2.66,0.562,46.43696,-0.02631,1
BiBrTe-f4f45fcade85,56.667,17.556,56.667,0.577,0.481,16,1.333,16,5,0.667,5,6,0.667,6,2.36,0.4,2.36,1.099,15.43591,-0.38726,1
F2N2Hf3-fb935df9161c,35.429,31.347,72,0.589,0.5,10.857,11.755,4,3.714,1.959,6,5.143,1.061,4,2.563,1.082,1.3,1.079,8.60563,-2.12521,1
InBr2-866193f81c4b,39.667,6.222,35,0.745,0.693,15.667,3.556,17,4.333,0.444,4,5.667,1.778,7,2.567,0.524,2.96,0.637,14.55799,-0.55535,1
As2Br6-744410ea2c2e,34.5,0.75,35,0.791,0.759,16.5,1.5,17,4,0,4,6.5,0.75,7,2.765,0.293,2.96,0.562,39.97842,-0.46008,1
NbSb2-3ba3cdb77507,47.667,4.444,51,0.745,0.693,11.667,8.889,15,5,0,5,5,0,5,1.9,0.2,2.05,0.637,9.22407,0.01225,-1
WCl2-3f659ed1fd06,36,25.333,17,0.745,0.693,13.333,9.778,17,4,1.333,3,6.667,0.444,7,2.893,0.356,3.16,0.637,8.05733,0.01043,-1
Rh2Se4-137810a97c61,37.667,4.889,34,0.745,0.693,13.667,6.222,16,4.333,0.444,4,7,1.333,6,2.46,0.12,2.55,0.637,22.01336,-0.3471,1
IrTe2-68c544c0f00f,60.333,11.111,52,0.745,0.693,13.667,6.222,16,5.333,0.444,5,7,1.333,6,2.133,0.044,2.1,0.637,11.63449,0.16162,-1
TiBr2-e4061415199d,30.667,5.778,35,0.745,0.693,12.667,11.556,17,4,0,4,6,1.333,7,2.487,0.631,2.96,0.637,13.49058,-0.85913,1
In2Te4-3483e95ec791,51,1.333,52,0.745,0.693,15,2.667,16,5,0,5,5,1.333,6,1.993,0.142,2.1,0.637,57.51032,0.09041,-1
Te2Ti2-b3dbe81af5e4,37,15,37,0.707,0.63,10,12,10,4.5,0.5,4.5,5,1,5,1.82,0.28,1.82,0.693,15.35205,-0.44469,1
Ni2P2Se6-48b9c60401e4,29,6,34,0.663,0.614,14.6,3.68,16,3.8,0.32,4,6.6,1.36,6,2.35,0.24,2.55,0.95,33.12221,-0.15332,1
Cl2In2-9669b3269d2d,33,16,33,0.707,0.63,15,4,15,4,1,4,5,2,5,2.47,0.69,2.47,0.693,36.51333,-0.70909,1
Ga2I6-944c9b326b62,47.5,8.25,53,0.791,0.759,16,3,17,4.75,0.375,5,6,1.5,7,2.448,0.319,2.66,0.562,44.06443,-0.38776,1
NbCl2-366800899395,25,10.667,17,0.745,0.693,13,10.667,17,3.667,0.889,3,6.333,0.889,7,2.64,0.693,3.16,0.637,9.73744,-0.75513,1
ZnCl2-29e6de323923,21.333,5.778,17,0.745,0.693,15.333,4.444,17,3.333,0.444,3,5.333,2.222,7,2.657,0.671,3.16,0.637,11.21668,-1.10688,1
N3Ti4-60767d391cd9,15.571,7.347,22,0.714,0.643,8.714,10.776,4,3.143,0.98,4,4.429,0.49,4,2.183,0.735,1.54,0.683,7.72104,-1.25632,1
SnCl2-b44ab946b72b,28,14.667,17,0.745,0.693,16,2.667,17,3.667,0.889,3,6,1.333,7,2.76,0.533,3.16,0.637,15.89352,-0.9907,1
AsSbTa-f2fb6cabbdcc,52.333,13.778,52.333,0.577,0.481,11.667,8.889,11.667,5,0.667,5,5,0,5,1.91,0.273,1.91,1.099,10.13759,-0.01203,1
Rh2Te6-202298504ea9,50.25,2.625,52,0.791,0.759,14.25,5.25,16,5,0,5,6.75,1.125,6,2.145,0.067,2.1,0.562,22.87452,-0.14802,1
P2Pd2S6-8f893a677af5,21.8,9.68,16,0.663,0.614,14.6,3.68,16,3.4,0.64,3,6.6,1.36,6,2.426,0.185,2.58,0.95,31.29506,-0.20366,1
CrBr2-732baf86d047,31.333,4.889,35,0.745,0.693,13.333,9.778,17,4,0,4,6.667,0.444,7,2.527,0.578,2.96,0.637,11.81053,-0.49233,1
Mn2S6-dc655ded0d66,18.25,3.375,16,0.791,0.759,13.75,6.75,16,3.25,0.375,3,6.25,0.375,6,2.323,0.386,2.58,0.562,21.74265,-0.22669,1
Fe2S4-bc16c88f14d9,19.333,4.444,16,0.745,0.693,13.333,7.111,16,3.333,0.444,3,6.667,0.889,6,2.33,0.333,2.58,0.637,31.05865,-0.14288,1
Co2Te2-58378d931a56,39.5,12.5,39.5,0.707,0.63,12.5,7,12.5,4.5,0.5,4.5,7.5,1.5,7.5,1.99,0.11,1.99,0.693,13.63074,0.27382,-1
Cu2P2Te6-04d84f783f72,40,14.4,52,0.663,0.614,14.8,3.04,16,4.4,0.72,5,6.8,1.68,6,2.078,0.071,2.1,0.95,38.64218,0.09048,-1
Sn2Te2-41886e60f565,51,1,51,0.707,0.63,15,2,15,5,0,5,5,1,5,2.03,0.07,2.03,0.693,15.11022,-0.16249,1
Cl2In2-9d0130e99f0c,33,16,33,0.707,0.63,15,4,15,4,1,4,5,2,5,2.47,0.69,2.47,0.693,14.56847,-0.74627,1
NbTe2-24e850444f48,48.333,4.889,52,0.745,0.693,12.333,9.778,16,5,0,5,5.667,0.444,6,1.933,0.222,2.1,0.637,11.76431,-0.44048,1
PbS2-9842835dff03,38,29.333,16,0.745,0.693,15.333,1.778,16,4,1.333,3,5.333,0.889,6,2.343,0.316,2.58,0.637,15.46557,0.03958,-1
GeS-227b12019ade,24,8,24,0.707,0.63,15,2,15,3.5,0.5,3.5,5,1,5,2.295,0.285,2.295,0.693,10.53825,-0.22415,1
GeCl2-3ea474649fa9,22,6.667,17,0.745,0.693,16,2.667,17,3.333,0.444,3,6,1.333,7,2.777,0.511,3.16,0.637,18.8702,-0.66702,1
MnI2-2b7cf85310ef,43.667,12.444,53,0.745,0.693,13.667,8.889,17,4.667,0.444,5,7,0,7,2.29,0.493,2.66,0.637,14.10608,-0.28474,1
InBr2-b75ecbd0bb77,39.667,6.222,35,0.745,0.693,15.667,3.556,17,4.333,0.444,4,5.667,1.778,7,2.567,0.524,2.96,0.637,14.55799,-0.55589,1
Hg2O4-f49f66feaadf,32,32,8,0.745,0.693,14.667,3.556,16,3.333,1.778,2,4.667,1.778,6,2.96,0.64,3.44,0.637,20.72433,0.42449,-1
AuCl2-f410c44f9b30,37.667,27.556,17,0.745,0.693,15,5.333,17,4,1.333,3,8.333,1.778,7,2.953,0.276,3.16,0.637,11.77097,0.09319,-1
NbI2-859d60dd1ea7,49,5.333,53,0.745,0.693,13,10.667,17,5,0,5,6.333,0.889,7,2.307,0.471,2.66,0.637,13.3165,0.12964,-1
Br2Mn2-2166878e6b59,30,5,30,0.707,0.63,12,10,12,4,0,4,7,0,7,2.255,0.705,2.255,0.693,10.77299,-0.21518,1
Ag2P2S6-c94c2f579071,22,10,16,0.663,0.614,14.8,3.04,16,3.4,0.64,3,6.8,1.68,6,2.372,0.25,2.58,0.95,33.07116,-0.11663,1
ZrCl2-dc09b7c396eb,24.667,10.222,17,0.745,0.693,12.667,11.556,17,3.667,0.889,3,6,1.333,7,2.55,0.813,3.16,0.637,10.07091,-1.70507,1
Br2Fe2O2-71e19b5b951e,23,10,23,0.577,0.481,13.667,7.556,13.667,3.333,0.889,3.333,7,0.667,7,2.743,0.609,2.743,1.099,12.20341,-0.71726,1
Fe2Se2-2554d003ac74,30,4,30,0.707,0.63,12,8,12,4,0,4,7,1,7,2.19,0.36,2.19,0.693,11.65541,0.14734,-1
FeS2-3eb0ea94f146,19.333,4.444,16,0.745,0.693,13.333,7.111,16,3.333,0.444,3,6.667,0.889,6,2.33,0.333,2.58,0.637,12.03012,-0.12538,1
Ge2I2O2-16a8c70aae96,31,15.333,31,0.577,0.481,15.667,2.222,15.667,3.667,1.111,3.667,5.667,1.111,5.667,2.703,0.491,2.703,1.099,14.83648,-0.64861,1
Br2Hg2Se2-61d3c6705ba9,49.667,20.222,49.667,0.577,0.481,15,4,15,4.667,0.889,4.667,5,2,5,2.503,0.336,2.503,1.099,16.40674,-0.13121,1
O2N3Nb4-8469b6fb3d00,22.333,16.593,41,0.598,0.514,10.778,10.272,5,3.333,1.481,5,5.222,0.346,5,2.489,0.79,1.6,1.061,8.55152,-1.53269,1
FeSe2-9d9135d81003,31.333,3.556,34,0.745,0.693,13.333,7.111,16,4,0,4,6.667,0.889,6,2.31,0.32,2.55,0.637,13.44927,0.02199,-1
Os2Te2-fac9d30d7b11,64,12,64,0.707,0.63,12,8,12,5.5,0.5,5.5,7,1,7,2.15,0.05,2.15,0.693,14.81808,0.71976,-1
Ba2Br2-11ca7913414e,45.5,10.5,45.5,0.707,0.63,9.5,15,9.5,5,1,5,4.5,2.5,4.5,1.925,1.035,1.925,0.693,39.94054,-1.30504,1
P2V2Te6-e91c92408325,38.8,15.84,52,0.663,0.614,13.6,6.88,16,4.4,0.72,5,5.6,0.48,6,2.024,0.158,2.1,0.95,39.90969,-0.13119,1
Os2I6-e18f18ce4283,58.75,8.625,53,0.791,0.759,14.75,6.75,17,5.25,0.375,5,7.25,0.375,7,2.545,0.173,2.66,0.562,43.79141,0.44967,-1
Cu2P2S6-7f0ee7f2ff5b,18.4,4.24,16,0.663,0.614,14.8,3.04,16,3.2,0.32,3,6.8,1.68,6,2.366,0.257,2.58,0.95,30.17292,-0.15683,1
ReTe2-7d4514ea3fcb,59.667,10.222,52,0.745,0.693,13,8,16,5.333,0.444,5,6.333,0.444,6,2.033,0.089,2.1,0.637,11.8593,0.1806,-1
H2N2O2V3-299f9a7fcb30,11.222,7.852,23,0.509,0.412,8.778,11.951,5,2.444,1.037,4,4.333,1.481,5,2.472,0.682,1.63,1.369,6.88012,-1.07736,1
Al2Br2O2-5c86a74cc470,18.667,10.889,18.667,0.577,0.481,15.333,3.111,15.333,3,0.667,3,5.333,1.556,5.333,2.67,0.707,2.67,1.099,12.15598,-2.12551,1
I2Ru2Se2-e9384bdc5d66,43.667,6.444,43.667,0.577,0.481,13.667,7.556,13.667,4.667,0.444,4.667,7,0.667,7,2.47,0.18,2.47,1.099,18.21648,-0.09815,1
GaCl2-c6cdce79fba4,21.667,6.222,17,0.745,0.693,15.667,3.556,17,3.333,0.444,3,5.667,1.778,7,2.71,0.6,3.16,0.637,11.55325,-0.61985,1
Bi2I2-c3fa8fd438b6,68,15,68,0.707,0.63,16,2,16,5.5,0.5,5.5,6,1,6,2.34,0.32,2.34,0.693,26.0291,-0.17145,1
Nb2Se2-d3ce7385d21f,37.5,3.5,37.5,0.707,0.63,10.5,11,10.5,4.5,0.5,4.5,5.5,0.5,5.5,2.075,0.475,2.075,0.693,8.96757,-0.23091,1
IrBr2-53113b229ede,49,18.667,35,0.745,0.693,14.333,7.111,17,4.667,0.889,4,7.667,0.889,7,2.707,0.338,2.96,0.637,12.78832,0.21896,-1
F2Hf2-05a7b11032cf,40.5,31.5,40.5,0.707,0.63,10.5,13,10.5,4,2,4,5.5,1.5,5.5,2.64,1.34,2.64,0.693,15.33782,-1.11702,1
TaO2-6f317c3f1c7a,29.667,28.889,8,0.745,0.693,12.333,9.778,16,3.333,1.778,2,5.667,0.444,6,2.793,0.862,3.44,0.637,7.66127,-2.37019,1
