Material,Label,E-hull,E-band,E-form,a,V,dens.,d[M-X],A.R(X),E.N(X),A(X)
Ti2Te3,1,0.004,0,-0.848,6.85,771.23,6.18,2.78,1.23,2.1,52
Ti3Te,1,0.127,0,-0.299,5.82,141.32,6.37,2.91,1.23,2.1,52
Ti3Te4,1,0,0,-0.856,14.58,350.79,6.19,2.73,1.23,2.1,52
V2O3,-1,0.031,0.42,-2.501,5.13,423.24,4.7,2.01,0.48,3.44,8
V3S,1,0.013,0,-0.658,9.41,401.15,6.12,2.33,0.87,2.58,16
V3S4,1,0,0,-1.357,12.68,218.81,4.27,2.4,0.87,2.58,16
V3Se4,1,0,0,-0.914,13.42,255.04,6.1,2.54,1.03,2.55,34
V3Te4,1,0.014,0,-0.559,14.03,343.1,6.42,2.77,1.23,2.1,52
W2O3,-1,0.873,0.21,-0.957,3.43,537.61,10.27,2.08,0.48,3.44,8
W3O,-1,3.106,0,2.343,4.98,123.52,15.26,2.78,0.48,3.44,8
WO4,-1,0.525,0,-1.225,5.36,652.66,5.04,1.76,0.48,3.44,8
Y2O3,-1,0,4.1,-3.91,10.61,1193.66,5.03,2.25,0.48,3.44,8
Y2S3,1,0.036,1.9,-2.346,8.35,1741.63,4.18,2.77,0.87,2.58,16
Y2Se3,1,0.06,1.55,-2.139,8.72,1988.65,5.54,2.89,1.03,2.55,34
Y3Se4,1,0.008,0,-2.136,13.99,1505.01,5.14,2.81,1.03,2.55,34
Y2Te3,1,0,0.56,-1.669,8.76,2833.01,5.26,3.08,1.23,2.1,52
Zr2O,-1,0.227,0,-1.766,4.88,115.95,5.68,2.11,0.48,3.44,8
Zr3O,-1,0.007,0,-1.538,5.65,143.59,6.7,2.27,0.48,3.44,8
Zr2S,1,0,0,-1.264,3.54,672.35,6.36,2.65,0.87,2.58,16
Zr3S,1,0.616,0,-0.338,4.27,77.94,6.51,3.02,0.87,2.58,16
Zr3S2,1,0.174,0,-1.258,5.81,305.36,5.51,2.61,0.87,2.58,16
Zr3S4,1,0,0,-1.86,7.3,1109.55,4.81,2.5,0.87,2.58,16
Zr2Se,1,0,0,-1.062,3.62,730.14,7.13,2.75,1.03,2.55,34
Zr2Se3,1,0,0,-1.583,6.53,465.32,5.99,2.65,1.03,2.55,34
Zr3Se,1,0.431,0,-0.366,6.05,165.7,7.07,3.03,1.03,2.55,34
Zr3Se4,1,0.075,0,-1.501,7.89,318.05,6.16,2.77,1.03,2.55,34
Zr2Te,1,0.001,0,-0.746,3.86,830.13,7.44,2.95,1.23,2.1,52
Zr2Te3,1,0,0,-1.074,7.03,867.43,6.49,2.91,1.23,2.1,52
Zr3Te,1,0.683,0,0.099,5.69,909.72,6.59,3.13,1.23,2.1,52
Zr3Te2,1,0.419,0,-0.459,6.11,394.68,6.68,2.9,1.23,2.1,52
Zn3Se,1,0.489,0,0.013,4.15,71.31,6.41,2.93,1.03,2.55,34
Cd3Se4,1,0.181,0.45,-0.57,22.46,1680.26,5.16,2.57,1.03,2.55,34
Cd3Te,1,0.309,0,0.029,4.53,209.45,7.37,3.41,1.23,2.1,52
